number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_eng_avg3,params_eng_delta,params_eng_t1,params_eng_t2,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_min_ip,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_use_Batted Ball,params_use_Batter Contact,params_use_Batter Vision,params_use_Horizontal Movement,params_use_Plate Discipline,params_use_Stuff+,params_use_Velocity,params_use_Vertical Movement,params_use_X-Factor,state
0,-0.6621527855902007,2026-03-16 00:05:31.432682,2026-03-16 00:05:33.028902,0 days 00:00:01.596220,0.40921304830970556,False,True,False,False,3.005575058716044,0.1205712628744377,10,2,45,600,0.0017073967431528124,2.9154431891537547,0.7993292420985183,False,False,True,True,True,False,True,True,False,COMPLETE
1,-0.6915931808587276,2026-03-16 00:05:33.029446,2026-03-16 00:05:34.490687,0 days 00:00:01.461241,0.38542676439134516,True,True,True,True,1.2938999080000846,0.1024932221692416,2,5,15,500,0.0013726318898045872,4.337920697490942,0.7200762468698007,False,False,True,False,False,True,True,False,True,COMPLETE
2,-0.6617824421795933,2026-03-16 00:05:34.491121,2026-03-16 00:05:35.983023,0 days 00:00:01.491902,0.8398892426801621,False,False,True,True,4.315517129377968,0.11069143219393454,9,1,40,50,0.02715581955282941,0.0029072088906598446,0.8645035840204937,False,False,True,False,True,False,True,False,False,COMPLETE
3,-0.6646697754137444,2026-03-16 00:05:35.984210,2026-03-16 00:05:36.899989,0 days 00:00:00.915779,0.950788356639801,False,True,False,True,4.018360384495573,0.02679156169946617,2,9,20,350,0.34167643418329696,3.06085221067225,0.5806106436270022,True,False,False,False,False,True,False,True,True,COMPLETE
4,-0.6689206184907392,2026-03-16 00:05:36.900570,2026-03-16 00:05:36.993542,0 days 00:00:00.092972,0.3360351258749925,False,False,False,False,0.7244743604561155,0.07950609693143304,2,3,15,450,4.295992790539128,0.009083381663660588,0.7513395116144308,True,True,False,False,False,True,False,True,True,COMPLETE
5,-0.6552726359800858,2026-03-16 00:05:36.993895,2026-03-16 00:05:37.155626,0 days 00:00:00.161731,0.4805591394006089,False,True,True,False,2.6482528917800323,0.2322119672134763,3,7,20,550,1.857328833311487,0.16626592254031872,0.9386696766904905,True,False,True,False,False,False,True,True,True,COMPLETE
6,-0.6520370137763746,2026-03-16 00:05:37.156022,2026-03-16 00:05:37.215859,0 days 00:00:00.059837,0.7603290246102403,True,True,True,True,1.3260118384086272,0.09111430418810842,8,6,25,500,0.0023697311169867336,0.029570809414943493,0.924611705247089,False,False,True,False,True,False,False,False,True,COMPLETE
7,-0.6721669674497662,2026-03-16 00:05:37.216263,2026-03-16 00:05:37.417653,0 days 00:00:00.201390,0.9553083419125465,False,False,False,False,3.075036133495849,0.017797595772834223,4,7,30,1300,0.19065345519393517,0.0024474057445796832,0.7784006312291751,False,True,False,False,False,True,True,True,False,COMPLETE
8,-0.6569642615462795,2026-03-16 00:05:37.418089,2026-03-16 00:05:37.627270,0 days 00:00:00.209181,0.8758203924617607,True,False,True,True,3.849967765493054,0.011093090790700134,7,4,20,450,0.003222864528968034,0.12273630375458194,0.5186740943746072,True,False,True,True,True,False,False,False,False,COMPLETE
9,-0.6717866280584625,2026-03-16 00:05:37.627675,2026-03-16 00:05:38.159365,0 days 00:00:00.531690,0.593720043699453,False,True,True,True,0.07196744314877934,0.06589434624667669,8,3,35,1450,0.026539376439360548,1.0749405395173413,0.8058603731171761,False,False,True,False,True,False,True,True,True,COMPLETE
10,-0.6683087287382646,2026-03-16 00:05:38.159823,2026-03-16 00:05:38.455967,0 days 00:00:00.296144,0.719103854745746,True,True,True,True,1.673975881116181,0.037142452880519,5,10,50,1150,0.010757412206633198,0.021357941312070177,0.976748018089326,False,True,False,True,True,False,False,False,True,COMPLETE
11,-0.6609750336733732,2026-03-16 00:05:38.456419,2026-03-16 00:05:38.566442,0 days 00:00:00.110023,0.5399595017864214,True,True,True,False,2.084623041637503,0.27924696869564625,6,7,25,900,9.215104158821372,0.16802013950253766,0.996777508003914,True,False,True,False,False,False,False,False,True,COMPLETE
12,-0.6511109230735086,2026-03-16 00:05:38.566883,2026-03-16 00:05:38.842642,0 days 00:00:00.275759,0.7193876731557205,True,True,True,False,2.60957092482149,0.26441092832239166,4,7,10,900,1.1072448678802878,0.02722641527438275,0.9072950643400716,True,False,True,False,False,False,True,True,True,COMPLETE
13,-0.6581435090267297,2026-03-16 00:05:38.843059,2026-03-16 00:05:38.953738,0 days 00:00:00.110679,0.7362805197767058,True,True,True,False,0.8612804269632943,0.17830977107448837,6,6,10,850,0.9339063703383856,0.020027936509923506,0.9006509446735054,True,False,True,False,True,False,False,False,True,COMPLETE
14,-0.6654037102207992,2026-03-16 00:05:38.954110,2026-03-16 00:05:39.429774,0 days 00:00:00.475664,0.6944443502854158,True,True,True,False,1.965934690867702,0.04536188010855307,8,8,10,1050,0.06103726304159691,0.033584310308021045,0.6593712979980784,False,True,True,True,False,False,True,True,True,COMPLETE
15,-0.651537751718001,2026-03-16 00:05:39.430171,2026-03-16 00:05:39.500290,0 days 00:00:00.070119,0.789989507576045,True,True,True,True,3.3912396998348653,0.1669014100236314,4,6,30,200,0.6641109245358096,0.6566272256736716,0.8735437997054583,True,False,True,False,True,False,False,False,True,COMPLETE
16,-0.6516337911432439,2026-03-16 00:05:39.500918,2026-03-16 00:05:39.589830,0 days 00:00:00.088912,0.62535151147639,True,True,True,False,3.5170050110717503,0.16780773891636863,4,5,30,150,0.6717225320269503,0.7040279333827921,0.8519424544455846,True,False,True,False,True,False,True,False,True,COMPLETE
17,-0.6492196773182263,2026-03-16 00:05:39.590464,2026-03-16 00:05:39.793342,0 days 00:00:00.202878,0.8312425097586267,True,True,True,True,4.790261392654704,0.1691696892241733,4,9,35,750,2.3138653431056766,0.5533423143517625,0.8495462264155911,True,False,True,False,False,False,False,True,True,COMPLETE
