Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14.0609,8.8756,22.6599,2.79037,32,32,0,0,,199.765,796.193,159.244,68.0153,61.9353,20.265,43.4881,0.3639,7.1108,242.855,10.9413,1.95927,5.5844,0.913,0.30502,0.05462,0.25039995834231377,0.213579,1.01485,0.288054,0.772631,0.423915,,2.78238,5.88834,5.79346,6.760000228881836,,,,,,,1156.6,5.7829999999999995,1076,5.38,4.08,3.66,3.38,3.16,2.97,2.79,2.61,2.42,2.17,3.54,3.36,3.24,3.14,3.04,2.95,2.86,2.75,2.61,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.5497,9.0675,21.2598,2.92098,32,32,0,0,,193.982,785.668,158.112,69.2309,62.9573,17.5661,51.6545,0.5028,7.1724,236.967,10.9944,2.39657,4.58754,0.815,0.301612,0.065746,0.23586615175008774,0.217533,1.08137,0.297572,0.758938,0.443775,,2.77895,5.68288,5.74043,10.199999809265137,,,,,,,1100.4,5.6721649484536085,1033,5.324742268041237,4.29,3.84,3.55,3.32,3.11,2.92,2.73,2.52,2.26,3.75,3.55,3.41,3.29,3.19,3.08,2.98,2.86,2.7,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13.6193,8.9271,20.7306,3.01931,32,32,0,0,,192.855,773.898,157.498,70.8137,64.6989,19.4998,49.9141,0.493,6.0093,238.635,11.1364,2.32935,4.78092,0.91,0.308355,0.064497,0.24385782331228256,0.219365,1.07548,0.300101,0.758407,0.454958,,2.84475,5.58996,5.39046,11.869999885559082,,,,,,,1096.3,5.6803108808290155,1028,5.3264248704663215,4.39,3.94,3.65,3.41,3.21,3.01,2.82,2.61,2.34,3.84,3.64,3.5,3.38,3.28,3.18,3.08,2.96,2.81,"Garrett Crochet","27463",676979
"Cristopher Sánchez","PHI",13.5512,9.3092,21.1234,3.14788,32,32,0,0,,198.055,812.033,182.662,77.1794,69.2726,17.5609,50.5743,0.4953,6.6741,191.366,8.69605,2.29819,3.78386,0.798,0.235663,0.0622811,0.1733819842338562,0.242005,1.17763,0.302462,0.747932,0.545382,,3.22251,4.70441,5.14912,25.59000015258789,,,,,,,976,4.929292929292929,964,4.8686868686868685,4.6,4.15,3.86,3.62,3.41,3.22,3.02,2.81,2.54,4.02,3.83,3.69,3.58,3.49,3.39,3.29,3.18,3.03,"Cristopher Sanchez","20778",650911
"Chris Sale","ATL",11.8617,7.6879,17.7403,3.18999,27.54,27.54,0,0,,168.535,685.38,139.61,64.944,59.7361,18.1269,44.2865,0.5229,8.6056,205.598,10.9792,2.36496,4.64244,0.968,0.299976,0.064616,0.23535995185375214,0.220732,1.09115,0.297197,0.7504,0.416542,,3.03504,4.15246,4.32281,39,,,,,,,918.2,5.433136094674556,864,5.112426035502959,4.65,4.16,3.84,3.58,3.36,3.15,2.94,2.71,2.43,4.03,3.82,3.67,3.55,3.44,3.34,3.23,3.11,2.94,"Chris Sale","10603",519242
"Logan Webb","SFG",12.6168,10.3712,20.7533,3.31479,32,32,0,0,,199.392,830.798,193.73,81.7229,73.4379,16.616,47.1785,0.7552,6.0499,187.381,8.45786,2.12951,3.97174,0.75,0.225543,0.056787,0.16875607892870903,0.249147,1.20822,0.30879,0.731396,0.547548,,3.13981,4.10886,3.93109,59.650001525878906,,,,,,,974.1000000000003,4.894974874371861,989,4.969849246231155,4.79,4.34,4.05,3.81,3.6,3.4,3.2,2.98,2.7,4.19,4,3.87,3.77,3.67,3.58,3.48,3.37,3.22,"Logan Webb","17995",657277
"Cole Ragans","KCR",11.7975,8.5571,17.3517,3.3105,29.16,29.16,0,0,,172.018,711.112,139.939,68.705,63.274,18.9602,62.2664,0.598,5.6349,210.68,11.0228,3.25778,3.38352,0.992,0.296268,0.087562,0.2087060883641243,0.217564,1.17549,0.292524,0.759989,0.398402,,3.30272,4.06658,4.11862,46.97999954223633,,,,,,,893.0999999999999,5.192441860465116,831,4.8313953488372094,4.79,4.3,3.97,3.71,3.48,3.27,3.06,2.83,2.53,4.18,3.96,3.81,3.68,3.57,3.46,3.34,3.21,3.04,"Cole Ragans","21846",666142
"Jacob deGrom","TEX",11.4014,9.1394,17.1277,3.52124,29.16,29.16,0,0,,174.797,715.795,152.536,73.6484,68.3891,23.5976,39.8297,0.4402,5.3427,202.818,10.4427,2.05076,5.09212,1.215,0.283346,0.055644,0.2277018129825592,0.227455,1.10051,0.290267,0.745108,0.378878,,3.34481,4.04943,3.37993,48.91999816894531,,,,,,,873,4.988571428571428,834,4.765714285714286,5.03,4.52,4.18,3.92,3.68,3.46,3.24,3,2.69,4.43,4.19,4.02,3.88,3.76,3.64,3.52,3.38,3.19,"Jacob deGrom","10954",594798
"Sonny Gray","BOS",11.5606,9.9573,16.9903,3.69149,30.78,30.78,0,0,,181.357,757.232,171.216,80.8719,74.3864,21.1382,47.8995,0.5013,5.6603,189.679,9.41298,2.37705,3.95994,1.049,0.25049,0.063256,0.18723390251398087,0.243318,1.2082,0.304507,0.729433,0.450923,,3.44457,3.88209,3.47428,134.75,,,,,,,854.5000000000001,4.720994475138122,850,4.696132596685083,5.22,4.73,4.4,4.14,3.91,3.7,3.48,3.24,2.94,4.56,4.36,4.22,4.1,3.99,3.89,3.78,3.66,3.49,"Sonny Gray","12768",543243
"Dylan Cease","TOR",11.8912,9.398,16.9304,3.53879,30.78,30.78,0,0,,177.809,746.471,149.425,75.6648,69.9145,21.1198,64.94,1.1317,5.6523,208.814,10.5693,3.287,3.21549,1.069,0.279735,0.086996,0.19273904711008072,0.221082,1.20559,0.287715,0.750553,0.381153,,3.52154,3.7563,3.24935,74.7300033569336,,,,,,,876.5000000000001,4.924157303370787,822,4.617977528089888,5.01,4.53,4.21,3.95,3.73,3.52,3.3,3.07,2.78,4.35,4.16,4.02,3.91,3.81,3.71,3.61,3.49,3.33,"Dylan Cease","18525",656302
"Framber Valdez","DET",11.938,10.0997,19.3529,3.42717,30.78,30.78,0,0,,190.384,795.586,179.624,80.4226,72.4975,15.5057,62.0001,0.4225,7.8493,176.144,8.32686,2.93093,2.84103,0.733,0.221402,0.0779301,0.14347197860479355,0.247506,1.26914,0.307288,0.733014,0.555109,,3.44416,3.72601,3.72253,84.66999816894531,,,,,,,883.2,4.648421052631579,884,4.652631578947369,4.94,4.48,4.17,3.92,3.71,3.5,3.3,3.07,2.78,4.32,4.12,3.99,3.88,3.78,3.68,3.58,3.47,3.31,"Framber Valdez","17295",664285
"Zack Wheeler","PHI",10.757,7.4369,16.0513,3.19998,25.92,25.92,0,0,,154.827,628.612,129.288,59.9315,55.0493,17.8223,39.1273,0.4909,6.8651,177.814,10.3362,2.27444,4.54451,1.036,0.282868,0.062244,0.2206241562962532,0.221908,1.08776,0.288038,0.756175,0.415291,,3.22581,3.71598,4.06046,113.58999633789062,,,,,,,808.1999999999999,5.2141935483870965,759,4.896774193548387,4.68,4.18,3.86,3.6,3.37,3.16,2.95,2.72,2.43,3.99,3.8,3.67,3.56,3.46,3.37,3.27,3.15,3,"Zack Wheeler","10310",554430
"Max Fried","NYY",12.8288,9.1066,19.6928,3.28121,30.78,30.78,0,0,,189.434,789.308,175.566,76.5285,69.0636,18.6698,54.2894,0.6299,7.4163,179.583,8.53196,2.57929,3.30787,0.887,0.227519,0.068781,0.1587379202246666,0.241294,1.21338,0.296394,0.752644,0.50471,,3.49758,3.6942,3.81406,50.599998474121094,,,,,,,884.3000000000001,4.678835978835979,875,4.62962962962963,4.76,4.3,4,3.75,3.54,3.34,3.13,2.91,2.63,4.15,3.96,3.83,3.71,3.61,3.52,3.41,3.3,3.15,"Max Fried","13743",608331
"Hunter Brown","HOU",11.9049,9.7639,17.6664,3.62717,30.78,30.78,0,0,,184.176,769.968,164.879,81.0071,74.2266,20.8733,60.8491,0.5467,7.1746,200.267,9.7863,2.97346,3.29121,1.02,0.260098,0.0790281,0.18107013404369354,0.234889,1.22561,0.299511,0.736474,0.472946,,3.54176,3.58544,3.27611,36.97999954223633,,,,,,,870.3000000000002,4.729891304347827,843,4.581521739130435,5.15,4.67,4.34,4.09,3.86,3.64,3.43,3.19,2.89,4.51,4.31,4.16,4.04,3.94,3.83,3.72,3.6,3.43,"Hunter Brown","25880",686613
