Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13,7,,2.6952436393116215,28,28,0,0,,170.3000030517578,673,135,55,51,13,33,0,5,196,10.358191241276035,1.743981178378108,5.9393939393939394,0.687022888451982,0.2912332838038633,0.04903417533432392,0.2421991084695394,0.2125984251968504,0.986494403931051,0.2863849765258216,0.7543391188251001,,,2.52643281383453,5.513861512083966,,,,,,,,,1027.3200225830078,6.032413412645584,960.5000152587891,5.640046964455265,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Logan Webb","SFG",14,9,,3.1683673469387754,32,32,0,0,,196,800,181,75,69,14,42,1,5,167,7.668367346938775,1.9285714285714286,3.9761904761904763,0.6428571428571429,0.20875,0.0525,0.15625,0.2403718459495352,1.1377551020408163,0.291958041958042,0.727630285152409,,,3.110357329310203,4.49969535410291,,,,,,,,,1000.6,5.105102040816327,991,5.0561224489795915,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Garrett Crochet","BOS",12,5,,2.8518792093090983,29,29,0,0,,135.6999969482422,563,112,46,43,10,45,2,3,174,11.540162381855422,2.984524753928126,3.8666666666666667,0.6632277230951392,0.30905861456483125,0.07992895204262877,0.22912966252220246,0.2174757281553398,1.1569639169548538,0.3081570996978852,0.7762237762237763,,,2.621159205967125,4.189652376063917,,,,,,,,,793.9799774169921,5.8509948067266855,752.4999847412109,5.54532057232267,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Zack Wheeler","PHI",12,7,,3.2783153671293372,28,28,0,0,,175.6999969482422,712,147,69,64,17,46,0,7,182,9.322709325274053,2.356289170124211,3.9565217391304346,0.8708025193937302,0.2556179775280899,0.06460674157303371,0.1910112359550562,0.22306525037936267,1.0984633087777118,0.2826086956521739,0.7328605200945627,,,3.257544094043388,4.149854072058179,,,,,,,,,913.8799774169922,5.201365926524197,862.4999847412109,4.908935684246408,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Corbin Burnes","ARI",14,7,,3.0164835164835164,30,30,0,0,,182,739,152,66,61,15,50,0,7,182,9,2.4725274725274726,3.64,0.7417582417582418,0.2462787550744249,0.06765899864682003,0.17861975642760486,0.22287390029325513,1.10989010989011,0.2824742268041237,0.7513812154696132,,,3.177468789278806,4.041974130802261,,,,,,,,,960.0999999999999,5.275274725274725,908,4.989010989010989,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Aaron Nola","PHI",11,9,,3.809006990644781,30,30,0,0,,184.3000030517578,753,168,84,78,23,41,0,5,183,8.93651640112814,2.002170341236359,4.463414634146342,1.1231687280106406,0.24302788844621515,0.05444887118193891,0.18857901726427623,0.2376237623762376,1.1340205997788593,0.2894211576846307,0.7070135746606334,,,3.5517212260615607,3.690715284539747,,,,,,,,,872.1200225830078,4.7320673257834205,850.5000152587891,4.614758552228234,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Paul Skenes","PIT",9,6,,3.2884615384615383,30,30,0,0,,156,634,129,62,57,17,45,0,4,181,10.442307692307692,2.5961538461538463,4.022222222222222,0.9807692307692307,0.2854889589905363,0.07097791798107256,0.21451104100946372,0.2205128205128205,1.1153846153846154,0.28940568475452194,0.7456724367509987,,,3.2049413167513334,3.617536871563969,,,,,,,,,824.9000000000001,5.287820512820513,774,4.961538461538462,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"George Kirby","SEA",13,9,,3.375649103856529,30,30,0,0,,173.3000030517578,705,162,70,65,19,26,0,6,162,8.413156228073195,1.3502596415426116,6.230769230769231,0.9867281995888315,0.2297872340425532,0.03687943262411347,0.19290780141843972,0.24071322436849926,1.0848239855128674,0.29065040650406504,0.7311028500619579,,,3.2761162449107766,3.56614641775592,,,,,,,,,855.5200225830079,4.936641705237005,847.5000152587891,4.890363533379019,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Dylan Cease","SDP",12,9,,3.483210077574921,32,32,0,0,,175.6999969482422,727,141,74,68,19,66,1,5,207,10.60330126555895,3.380762722352129,3.1363636363636362,0.973249874616522,0.28473177441540576,0.0907840440165062,0.19394773039889956,0.2149390243902439,1.1781445850621055,0.2837209302325581,0.737250554323725,,,3.4282896860813743,3.555759865480577,,,,,,,,,900.8799774169921,5.127376169974402,832.4999847412109,4.738190092208421,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Yoshinobu Yamamoto","LAD",11,6,,3.397391972326819,24,24,0,0,,145.6999969482422,566,113,59,55,16,31,0,3,149,9.203843706849018,1.9148936571296615,4.806451612903226,0.9883322101314382,0.26325088339222613,0.054770318021201414,0.20848056537102472,0.212406015037594,0.9883322101314382,0.26430517711171664,0.6990131578947368,,,3.2488407958007484,3.5256895005214557,,,,,,,,,783.5799774169923,5.3780370201061,716.4999847412109,4.917638982489047,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Chris Sale","ATL",11,5,,3.058568262226973,24,24,0,0,,138.3000030517578,570,118,51,47,14,37,0,8,168,10.932754639449607,2.40780905749783,4.54054054054054,0.9110628866208006,0.29473684210526313,0.06491228070175438,0.22982456140350876,0.22476190476190477,1.1207519637001913,0.3032069970845481,0.7680945347119645,,,3.0290972795136426,3.426362420726041,,,,,,,,,745.4200225830077,5.389877123169979,710.5000152587891,5.1373824987761525,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Logan Gilbert","SEA",11,8,,3.375594240351315,32,32,0,0,,189.3000030517578,762,162,77,71,23,45,1,4,191,9.080823942353538,2.1394611382508333,4.2444444444444445,1.0935023595504259,0.25065616797900264,0.05905511811023622,0.19160104986876642,0.22720897615708274,1.0935023595504259,0.2785571142284569,0.7437070938215102,,,3.504567464334371,3.3510856157213613,,,,,,,,,931.7200225830077,4.921922913695145,882.5000152587891,4.6619123139554235,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Spencer Strider","ATL",10,6,,3.221957118795806,24,22,0,0,,125.69999694824219,511,97,49,45,14,37,0,6,172,12.315036098508413,2.649164742120996,4.648648648648648,1.0023866591809174,0.33659491193737767,0.07240704500978473,0.26418786692759294,0.20726495726495728,1.0660302565892297,0.29432624113475175,0.743006993006993,,,2.903949938980507,3.287546038454221,,,,,,,,,720.7799774169921,5.734128837837427,661.4999847412109,5.262529839309288,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Max Fried","NYY",12,7,,3.388888888888889,27,27,0,0,,162,664,140,66,61,15,47,1,6,146,8.11111111111111,2.611111111111111,3.106382978723404,0.8333333333333334,0.21987951807228914,0.07078313253012049,0.14909638554216864,0.22913256955810146,1.154320987654321,0.2777777777777778,0.7289156626506024,,,3.549195827672511,3.259123170378824,,,,,,,,,783.3,4.835185185185185,748,4.617283950617284,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Blake Snell","LAD",9,6,,3.3834586466165413,26,26,0,0,,133,553,100,54,50,14,59,0,2,176,11.909774436090226,3.992481203007519,2.983050847457627,0.9473684210526315,0.3182640144665461,0.10669077757685352,0.2115732368896926,0.2032520325203252,1.1954887218045114,0.2847682119205298,0.7532281205164992,,,3.264224139192051,3.1823245703192726,,,,,,,,,721,5.421052631578948,652,4.902255639097745,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Pablo López","MIN",12,10,,3.8497109826589595,30,30,0,0,,173,721,159,80,74,22,45,1,8,183,9.520231213872833,2.341040462427746,4.066666666666666,1.1445086705202312,0.2538141470180305,0.06241331484049931,0.1914008321775312,0.23802395209580837,1.1791907514450868,0.2958963282937365,0.7159353348729792,,,3.6231271771337257,3.17296852600709,,,,,,,,,803.1999999999998,4.642774566473987,786,4.543352601156069,,,,,,,,,,,,,,,,,,,"Pablo Lopez","17085",641154
"Sandy Alcantara","MIA",9,7,,3.4242232748883965,24,24,0,0,,157.6999969482422,643,144,65,60,15,36,1,6,135,7.7045023684988925,2.054533964933038,3.75,0.8560558187220991,0.2099533437013997,0.05598755832037325,0.15396578538102645,0.23960066555740434,1.1414077582961322,0.2860310421286031,0.7232704402515723,,,3.489878643140366,3.146388249932723,,,,,,,,,752.079977416992,4.769055117127414,737.4999847412109,4.676601135149429,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Tyler Glasnow","LAD",10,5,,3.411290322580645,22,22,0,0,,124,493,97,51,47,16,35,0,0,153,11.10483870967742,2.5403225806451615,4.371428571428571,1.1612903225806452,0.3103448275862069,0.07099391480730223,0.2393509127789047,0.21179039301310043,1.064516129032258,0.28027681660899656,0.739051094890511,,,3.222931391193021,3.035028509066879,,,,,,,,,669.5999999999999,5.3999999999999995,613,4.943548387096774,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Hunter Greene","CIN",8,7,,3.723335561491392,27,27,0,0,,154.6999969482422,628,113,69,64,17,53,0,18,174,10.122818557804722,3.083387261860059,3.2830188679245285,0.9890110085211511,0.2770700636942675,0.08439490445859872,0.1926751592356688,0.20287253141831238,1.0730446236242555,0.26229508196721313,0.6821378340365682,,,3.722394462818024,3.0125029083751564,,,,,,,,,776.8799774169922,5.0218486925821475,687.4999847412109,4.444085315471772,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Michael King","SDP",13,7,,3.3189920720882604,29,28,0,0,,162.6999969482422,681,138,65,60,17,59,2,7,177,9.791026612660369,3.263675537553456,3,0.9403810870916738,0.2599118942731278,0.08663729809104258,0.17327459618208518,0.22439024390243903,1.2108174781507173,0.28741092636579574,0.7621247113163973,,,3.565988083263382,3.008852034493026,,,,,,,,,792.079977416992,4.868346602790454,748.4999847412109,4.600491695026413,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
